Software,Version,CVE ID,Description
Notepad++ (64-bit x64),8.2.1,CVE-2007-5145,"Multiple buffer overflows in system DLL files in Microsoft Windows XP, as used by Microsoft Windows Explorer (explorer.exe) 6.00.2900.2180, Don Ho Notepad++, unspecified Adobe Macromedia applications, and other programs, allow user-assisted remote attackers to cause a denial of service (application crash) via long strings in the (1) author, (2) title, (3) subject, and (4) comment Properties fields of a file, possibly involving improper handling of extended file attributes by the (a) NtQueryInformationFile, (b) NtQueryDirectoryFile, (c) NtSetInformationFile, (d) FileAllInformation, (e) FileNameInformation, and other FILE_INFORMATION_CLASS functions in ntdll.dll and the (f) GetFileAttributesExW and (g) GetFileAttributesW functions in kernel32.dll, a related issue to CVE-2007-1347."
Notepad++ (64-bit x64),8.2.1,CVE-2008-3436,"The GUP generic update process in Notepad++ before 4.8.1 does not properly verify the authenticity of updates, which allows man-in-the-middle attackers to execute arbitrary code via a Trojan horse update, as demonstrated by evilgrade and DNS cache poisoning."
Notepad++ (64-bit x64),8.2.1,CVE-2014-9456,Buffer overflow in NotePad++ 6.6.9 allows remote attackers to have unspecified impact via a long Time attribute in an Event element in an XML file.  NOTE: this issue was originally incorrectly mapped to CVE-2014-1004; see CVE-2014-1004 for more information.
Notepad++ (64-bit x64),8.2.1,CVE-2017-8803,"Notepad++ 7.3.3 (32-bit) with Hex Editor Plugin v0.9.5 might allow user-assisted attackers to execute code via a crafted file, because of a ""Data from Faulting Address controls Code Flow"" issue. One threat model is a victim who obtains an untrusted crafted file from a remote location and issues several user-defined commands."
Notepad++ (64-bit x64),8.2.1,CVE-2019-16294,SciLexer.dll in Scintilla in Notepad++ (x64) before 7.7 allows remote code execution or denial of service via Unicode characters in a crafted .ml file.
Notepad++ (64-bit x64),8.2.1,CVE-2022-32168,Notepad++ versions 8.4.1 and before are vulnerable to DLL hijacking where an attacker can replace the vulnerable dll (UxTheme.dll) with his own dll and run arbitrary code in the context of Notepad++.
Notepad++ (64-bit x64),8.2.1,CVE-2022-31901,Buffer overflow in function Notepad_plus::addHotSpot in Notepad++ v8.4.3 and earlier allows attackers to crash the application via two crafted files.
Notepad++ (64-bit x64),8.2.1,CVE-2022-31902,Notepad++ v8.4.1 was discovered to contain a stack overflow via the component Finder::add().
Notepad++ (64-bit x64),8.2.1,CVE-2023-40031,"Notepad++ is a free and open-source source code editor. Versions 8.5.6 and prior are vulnerable to heap buffer write overflow in `Utf8_16_Read::convert`. This issue may lead to arbitrary code execution. As of time of publication, no known patches are available in existing versions of Notepad++."
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-1556,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value."
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-0288,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets."
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-1291,"TCP/IP implementation in Microsoft Windows 95, Windows NT 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (RST) via a PSH ACK or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target."
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-0364,"Microsoft Access 97 stores a database password as plaintext in a foreign mdb, allowing access to data."
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-1544,Buffer overflow in FTP server in Microsoft IIS 3.0 and 4.0 allows local and sometimes remote attackers to cause a denial of service via a long NLST (ls) command.
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-0379,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-0386,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.
Microsoft 365 - en-us,16.0.18526.20168,CVE-1999-0419,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service."
Microsoft OneDrive,25.031.0217.0003,CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.
Microsoft OneDrive,25.031.0217.0003,CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
Microsoft OneDrive,25.031.0217.0003,CVE-1999-1556,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value."
Microsoft OneDrive,25.031.0217.0003,CVE-1999-0288,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets."
Microsoft OneDrive,25.031.0217.0003,CVE-1999-1291,"TCP/IP implementation in Microsoft Windows 95, Windows NT 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (RST) via a PSH ACK or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target."
Microsoft OneDrive,25.031.0217.0003,CVE-1999-0364,"Microsoft Access 97 stores a database password as plaintext in a foreign mdb, allowing access to data."
Microsoft OneDrive,25.031.0217.0003,CVE-1999-1544,Buffer overflow in FTP server in Microsoft IIS 3.0 and 4.0 allows local and sometimes remote attackers to cause a denial of service via a long NLST (ls) command.
Microsoft OneDrive,25.031.0217.0003,CVE-1999-0379,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.
Microsoft OneDrive,25.031.0217.0003,CVE-1999-0386,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.
Microsoft OneDrive,25.031.0217.0003,CVE-1999-0419,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service."
XAMPP,8.2.12-0,CVE-2005-1077,"Multiple cross-site scripting (XSS) vulnerabilities in XAMPP 1.4.x allow remote attackers to inject arbitrary web script or HTML via (1) cds.php, (2) Guestbook-EN.pl, or (3) phonebook.php."
XAMPP,8.2.12-0,CVE-2005-1078,"XAMPP 1.4.x has multiple default or null passwords, which allows attackers to gain privileges."
XAMPP,8.2.12-0,CVE-2005-2043,Directory traversal vulnerability in XAMPP before 1.4.14 allows remote attackers to inject arbitrary HTML and PHP code via lang.php.
XAMPP,8.2.12-0,CVE-2006-4994,"Multiple unquoted Windows search path vulnerabilities in Apache Friends XAMPP 1.5.2 might allow local users to gain privileges via a malicious program file in %SYSTEMDRIVE%, which is run when XAMPP attempts to execute (1) FileZillaServer.exe, (2) mysqld-nt.exe, (3) Perl.exe, or (4) xamppcontrol.exe with an unquoted ""Program Files"" pathname."
XAMPP,8.2.12-0,CVE-2007-2079,"The ADONewConnection Connect function in adodb.php in XAMPP 1.6.0a and earlier for Windows uses untrusted input for the database server hostname, which allows remote attackers to trigger a library buffer overflow and execute arbitrary code via a long host parameter, or have other unspecified impact.  NOTE: it could be argued that this is an issue in mssql_connect (CVE-2007-1411.1) in PHP, or an issue in the ADOdb Library, and the proper fix should be in one of these products; if so, then this should not be treated as a vulnerability in XAMPP."
XAMPP,8.2.12-0,CVE-2007-2080,Multiple SQL injection vulnerabilities in XAMPP 1.6.0a for Windows allow remote attackers to execute arbitrary SQL commands via unspecified vectors in certain test scripts.
XAMPP,8.2.12-0,CVE-2008-3569,"Multiple cross-site scripting (XSS) vulnerabilities in XAMPP 1.6.7, when register_globals is enabled, allow remote attackers to inject arbitrary web script or HTML via the text parameter to (1) iart.php and (2) ming.php."
XAMPP,8.2.12-0,CVE-2008-4450,"Cross-site scripting (XSS) vulnerability in adodb.php in XAMPP for Windows 1.6.8 allows remote attackers to inject arbitrary web script or HTML via the (1) dbserver, (2) host, (3) user, (4) password, (5) database, and (6) table parameters.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information."
XAMPP,8.2.12-0,CVE-2009-0919,"XAMPP installs multiple packages with insecure default passwords, which makes it easier for remote attackers to obtain access via (1) the ""lampp"" default password for the ""nobody"" account within the included ProFTPD installation, (2) a blank default password for the ""root"" account within the included MySQL installation, (3) a blank default password for the ""pma"" account within the phpMyAdmin installation, and possibly other unspecified passwords.  NOTE: this was originally reported as a problem in DFLabs PTK, but this issue affects any product that is installed within the XAMPP environment, and should not be viewed as a vulnerability within that product. NOTE: DFLabs states that PTK is intended for use in a laboratory with ""no contact from / to internet."""
XAMPP,8.2.12-0,CVE-2008-6498,Cross-site request forgery (CSRF) vulnerability in security/xamppsecurity.php in XAMPP 1.6.8 allows remote attackers to hijack the authentication of users for requests that change a certain .htaccess password via the xampppasswd parameter.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-1556,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value."
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-0288,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets."
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-1291,"TCP/IP implementation in Microsoft Windows 95, Windows NT 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (RST) via a PSH ACK or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target."
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-0364,"Microsoft Access 97 stores a database password as plaintext in a foreign mdb, allowing access to data."
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-1544,Buffer overflow in FTP server in Microsoft IIS 3.0 and 4.0 allows local and sometimes remote attackers to cause a denial of service via a long NLST (ls) command.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-0379,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-0386,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,CVE-1999-0419,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2002-0131,"ActivePython ActiveX control for Python in the AXScript package, when used in Internet Explorer, does not prevent a script from reading files from the client's filesystem, which allows remote attackers to read arbitrary files via a malicious web page containing Python script."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2002-1119,"os._execvpe from os.py in Python 2.2.1 and earlier creates temporary files with predictable names, which could allow local users to execute arbitrary code via a symlink attack."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2004-0150,"Buffer overflow in the getaddrinfo function in Python 2.2 before 2.2.2, when IPv6 support is disabled, allows remote attackers to execute arbitrary code via an IPv6 address that is obtained using DNS."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2005-0089,"The SimpleXMLRPCServer library module in Python 2.2, 2.3 before 2.3.5, and 2.4, when used by XML-RPC servers that use the register_instance method to register an object without a _dispatch method, allows remote attackers to read or modify globals of the associated module, and possibly execute arbitrary code, via dotted attributes."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2005-0852,"Microsoft Windows XP SP1 allows local users to cause a denial of service (system crash) via an empty datagram to a raw IP over IP socket (IP protocol 4), as originally demonstrated using code in Python 2.3."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2005-1632,"Cheetah 0.9.15 and 0.9.16 searches the /tmp directory for modules before using the paths in the PYTHONPATH variable, which allows local users to execute arbitrary code via a malicious module in /tmp/."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2005-2483,"Eval injection vulnerability in Karrigell before 2.1.8 allows remote attackers to execute arbitrary Python code via modified arguments to a Karrigell services (.ks) script, which can reference functions from libraries that are used by that script."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2005-2491,"Integer overflow in pcre_compile.c in Perl Compatible Regular Expressions (PCRE) before 6.2, as used in multiple products such as Python, Ethereal, and PHP, allows attackers to execute arbitrary code via quantifier values in regular expressions, which leads to a heap-based buffer overflow."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2005-2875,"Py2Play allows remote attackers to execute arbitrary Python code via pickled objects, which Py2Play unpickles and executes."
Python 3.12.1 pip Bootstrap (64-bit),3.12.1150.0,CVE-2005-3008,"Tofu 0.2 allows remote attackers to execute arbitrary Python code via crafted pickled objects, which Tofu unpickles and executes."
Microsoft Update Health Tools,3.74.0.0,CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.
Microsoft Update Health Tools,3.74.0.0,CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
Microsoft Update Health Tools,3.74.0.0,CVE-1999-1556,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value."
Microsoft Update Health Tools,3.74.0.0,CVE-1999-0288,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets."
Microsoft Update Health Tools,3.74.0.0,CVE-1999-1291,"TCP/IP implementation in Microsoft Windows 95, Windows NT 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (RST) via a PSH ACK or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target."
Microsoft Update Health Tools,3.74.0.0,CVE-1999-0364,"Microsoft Access 97 stores a database password as plaintext in a foreign mdb, allowing access to data."
Microsoft Update Health Tools,3.74.0.0,CVE-1999-1544,Buffer overflow in FTP server in Microsoft IIS 3.0 and 4.0 allows local and sometimes remote attackers to cause a denial of service via a long NLST (ls) command.
Microsoft Update Health Tools,3.74.0.0,CVE-1999-0379,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.
Microsoft Update Health Tools,3.74.0.0,CVE-1999-0386,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.
Microsoft Update Health Tools,3.74.0.0,CVE-1999-0419,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service."
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-1250,"Vulnerability in CGI program in the Lasso application by Blue World, as used on WebSTAR and other servers, allows remote attackers to read arbitrary files."
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-1432,"Power management (Powermanagement) on Solaris 2.4 through 2.6 does not start the xlock process until after the sys-suspend has completed, which allows an attacker with physical access to input characters to the last active application from the keyboard for a short period after the system is restoring, which could lead to increased privileges."
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-1288,"Samba 1.9.18 inadvertently includes a prototype application, wsmbconf, which is installed with incorrect permissions including the setgid bit, which allows local users to read and write files and possibly gain privileges via bugs in the program."
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-0384,The Forms 2.0 ActiveX control (included with Visual Basic for Applications 5.0) can be used to read text from a user's clipboard when the user accesses documents with ActiveX content.
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-0452,A service or application has a backdoor password that was placed there by the developer.
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-0664,An application-critical Windows NT registry key has inappropriate permissions.
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-0665,An application-critical Windows NT registry key has an inappropriate value.
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-1430,"PIM software for Royal daVinci does not properly password-protext access to data stored in the .mdb (Microsoft Access) file, which allows local users to read the data without a password by directly accessing the files with a different application, such as Access."
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-0414,"In Linux before version 2.0.36, remote attackers can spoof a TCP connection and pass data to the application layer before fully establishing the connection."
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,CVE-1999-0418,"Denial of service in SMTP applications such as Sendmail, when a remote attacker (e.g. spammer) uses many ""RCPT TO"" commands in the same connection."
Universal CRT Tools x64,10.1.22621.3233,CVE-2001-0051,"IBM DB2 Universal Database version 6.1 creates an account with a default user name and password, which allows remote attackers to gain access to the database."
Universal CRT Tools x64,10.1.22621.3233,CVE-2001-0052,IBM DB2 Universal Database version 6.1 allows users to cause a denial of service via a malformed query.
Universal CRT Tools x64,10.1.22621.3233,CVE-2001-0721,"Universal Plug and Play (UPnP) in Windows 98, 98SE, ME, and XP allows remote attackers to cause a denial of service (memory consumption or crash) via a malformed UPnP request."
Universal CRT Tools x64,10.1.22621.3233,CVE-2001-0876,"Buffer overflow in Universal Plug and Play (UPnP) on Windows 98, 98SE, ME, and XP allows remote attackers to execute arbitrary code via a NOTIFY directive with a long Location URL."
Universal CRT Tools x64,10.1.22621.3233,CVE-2001-0877,"Universal Plug and Play (UPnP) on Windows 98, 98SE, ME, and XP allows remote attackers to cause a denial of service via (1) a spoofed SSDP advertisement that causes the client to connect to a service on another machine that generates a large amount of traffic (e.g., chargen), or (2) via a spoofed SSDP announcement to broadcast or multicast addresses, which could cause all UPnP clients to send traffic to a single target system."
Universal CRT Tools x64,10.1.22621.3233,CVE-2002-1643,"Multiple buffer overflows in RealNetworks Helix Universal Server 9.0 (9.0.2.768) allow remote attackers to execute arbitrary code via (1) a long Transport field in a SETUP RTSP request, (2) a DESCRIBE RTSP request with a long URL argument, or (3) two simultaneous HTTP GET requests with long arguments."
Universal CRT Tools x64,10.1.22621.3233,CVE-2002-1706,"Cisco IOS software 11.3 through 12.2 running on Cisco uBR7200 and uBR7100 series Universal Broadband Routers allows remote attackers to modify Data Over Cable Service Interface Specification (DOCSIS) settings via a DOCSIS file without a Message Integrity Check (MIC) signature, which is approved by the router."
Universal CRT Tools x64,10.1.22621.3233,CVE-2003-0758,Buffer overflow in db2dart in IBM DB2 Universal Data Base 7.2 before Fixpak 10 allows local users to gain root privileges via a long command line argument.
Universal CRT Tools x64,10.1.22621.3233,CVE-2003-0759,Buffer overflow in db2licm in IBM DB2 Universal Data Base 7.2 before Fixpak 10a allows local users to gain root privileges via a long command line argument.
Universal CRT Tools x64,10.1.22621.3233,CVE-2003-0725,"Buffer overflow in the RTSP protocol parser for the View Source plug-in (vsrcplin.so or vsrcplin3260.dll) for RealNetworks Helix Universal Server 9 and RealSystem Server 8, 7 and RealServer G2 allows remote attackers to execute arbitrary code."
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-1556,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value."
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-0288,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets."
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-1291,"TCP/IP implementation in Microsoft Windows 95, Windows NT 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (RST) via a PSH ACK or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target."
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-0364,"Microsoft Access 97 stores a database password as plaintext in a foreign mdb, allowing access to data."
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-1544,Buffer overflow in FTP server in Microsoft IIS 3.0 and 4.0 allows local and sometimes remote attackers to cause a denial of service via a long NLST (ls) command.
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-0379,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-0386,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,CVE-1999-0419,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2002-0131,"ActivePython ActiveX control for Python in the AXScript package, when used in Internet Explorer, does not prevent a script from reading files from the client's filesystem, which allows remote attackers to read arbitrary files via a malicious web page containing Python script."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2002-1119,"os._execvpe from os.py in Python 2.2.1 and earlier creates temporary files with predictable names, which could allow local users to execute arbitrary code via a symlink attack."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2004-0150,"Buffer overflow in the getaddrinfo function in Python 2.2 before 2.2.2, when IPv6 support is disabled, allows remote attackers to execute arbitrary code via an IPv6 address that is obtained using DNS."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2005-0089,"The SimpleXMLRPCServer library module in Python 2.2, 2.3 before 2.3.5, and 2.4, when used by XML-RPC servers that use the register_instance method to register an object without a _dispatch method, allows remote attackers to read or modify globals of the associated module, and possibly execute arbitrary code, via dotted attributes."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2005-0852,"Microsoft Windows XP SP1 allows local users to cause a denial of service (system crash) via an empty datagram to a raw IP over IP socket (IP protocol 4), as originally demonstrated using code in Python 2.3."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2005-1632,"Cheetah 0.9.15 and 0.9.16 searches the /tmp directory for modules before using the paths in the PYTHONPATH variable, which allows local users to execute arbitrary code via a malicious module in /tmp/."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2005-2483,"Eval injection vulnerability in Karrigell before 2.1.8 allows remote attackers to execute arbitrary Python code via modified arguments to a Karrigell services (.ks) script, which can reference functions from libraries that are used by that script."
